,Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2
1497,14320,27,1.0,39.449662718352,,0.0,8,19.0,1977,0.211401214,B,B,9,1892,0,,0,1,B
1268,509,118,2.0,57.41543434621534,36.27471222749674,8.0,3,8.0,1958,0.21843974,B,B,21,4472,6,1450.0,4,7,A
2904,14224,6,2.0,68.36808781471474,,1.0,6,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
1799,10371,30,1.0,31.83723468858185,,1.0,6,17.0,2017,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
3000,3179,54,3.0,60.98348615218821,36.67615963353372,6.0,2,5.0,1965,0.006076152,B,B,30,5285,0,645.0,6,6,B
2583,3061,30,2.0,66.20329032176707,,1.0,22,22.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
1009,12713,6,3.0,79.95841647284678,,1.0,26,25.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
1816,2759,62,1.0,44.48098494878771,,0.0,7,0.0,1977,0.072157581,B,B,2,629,1,,0,0,A
1144,16271,23,2.0,64.5918253299254,,1.0,5,17.0,1977,0.005767451,B,B,1,388,0,,0,0,B
3067,1828,71,1.0,41.38197657689248,22.72549199401561,8.0,11,12.0,1983,0.407276235,A,B,9,1768,0,370.0,0,0,A
4287,932,62,1.0,45.60536667785385,,1.0,6,1.0,1977,0.072157581,B,B,2,629,1,,0,0,A
3436,15987,34,2.0,58.54791710431624,35.57074835920146,10.0,3,17.0,2001,0.069753361,B,B,53,13670,4,,1,11,B
2300,1139,6,2.0,63.5173347059491,,1.0,25,25.0,2017,0.243204519,B,B,5,1564,0,540.0,0,0,B
3936,4221,166,2.0,68.5185614600764,45.37374689265626,9.0,5,7.0,1953,0.174739084,B,B,17,3379,9,100.0,0,3,B
3915,5674,77,1.0,39.05556390481898,20.19633433236669,8.0,5,12.0,1977,6.99893e-05,B,B,46,10309,1,240.0,1,16,B
2449,6991,58,1.0,107.36470060481405,,1.0,4,2.0,1977,0.43788524,B,B,23,5735,3,1084.0,0,5,B
2771,9739,30,3.0,70.91812529248524,40.06286202791193,7.0,8,8.0,1920,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
2663,9129,109,1.0,32.36197651724863,20.59312290583476,5.0,6,5.0,1962,0.1363303,B,B,30,6141,10,262.0,3,6,B
2914,2168,23,3.0,104.99227440760984,,1.0,23,25.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
3406,16166,31,2.0,88.18601207698258,54.253581569612805,16.0,31,40.0,2012,0.151346216,B,A,32,5889,10,830.0,4,1,B
716,13566,141,3.0,67.09662526343965,47.496636301009005,7.0,1,5.0,1953,0.0006991189999999,B,B,14,3369,24,4129.0,0,3,B
2268,1278,47,1.0,41.49849752664512,22.45382652053375,8.0,16,14.0,2001,0.298204575,B,B,16,4048,3,,1,3,B
2342,6009,140,2.0,41.58899019555932,23.89134737491356,7.0,9,9.0,1969,0.0,B,B,33,7425,1,,2,5,B
3868,10505,52,2.0,39.38933038786035,23.87927541844753,6.0,14,12.0,1970,0.371148999,B,B,34,7065,1,750.0,2,5,B
879,4724,99,3.0,62.06653178056656,44.19000970132435,6.0,7,9.0,1973,0.012338886,B,B,35,5776,1,2078.0,2,4,B
3465,7266,61,1.0,36.12346824080775,19.68352792763189,6.0,4,9.0,1978,0.300322518,B,B,52,10311,6,,1,9,B
4028,9382,45,3.0,77.8282688219774,44.92737428285353,10.0,7,17.0,1986,0.014423114,B,B,19,3806,4,,0,3,B
4150,10901,44,2.0,53.34942728773794,30.87100280741553,8.0,11,17.0,1993,0.122190486,B,B,25,4724,2,1308.0,1,3,B
1663,11296,27,1.0,47.47861814711314,21.9460504197926,0.0,6,0.0,2016,0.017647053,B,B,2,469,0,,0,0,B
4944,102,29,1.0,33.1416707511633,20.30785081578111,6.0,6,9.0,1972,0.069660344,B,B,31,6119,4,,1,2,B
3956,14202,22,1.0,38.44927244774158,,1.0,15,17.0,1977,0.118537385,B,B,30,6207,1,1183.0,1,0,B
4242,5347,45,1.0,40.571864946293786,21.152649914653534,6.0,4,5.0,1960,0.014423114,B,B,19,3806,4,,0,3,B
3615,6153,27,1.0,44.322596900625896,21.685315409633603,12.0,2,14.0,2007,0.07542368,B,B,11,3097,0,,0,0,B
1763,8672,1,1.0,40.937939112051936,,1.0,3,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
2239,763,1,2.0,74.0204131610194,,1.0,5,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
3136,10243,6,3.0,82.58591466662376,,1.0,9,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
272,13230,74,2.0,84.50913807618316,83.6865702757032,1.0,12,24.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
3800,13966,17,2.0,65.45798733937059,37.49996785008108,11.0,7,17.0,2010,0.093442564,B,B,23,4635,5,3300.0,2,4,B
3002,4549,31,2.0,80.54264033432669,35.54959398594974,14.0,5,40.0,2013,0.151346216,B,A,32,5889,10,830.0,4,1,B
2245,10717,81,2.0,41.19779377387656,29.419543286520568,6.0,2,5.0,1967,0.319809354,B,B,25,4756,16,2857.0,5,8,B
3869,12168,41,1.0,44.757487405652455,23.50790608434121,8.0,9,12.0,1983,0.127811589,B,B,28,7287,5,320.0,1,3,B
4131,7864,177,2.0,45.11280890306858,29.165319685446907,6.0,5,12.0,1971,0.0,B,B,36,6714,2,2672.0,0,2,B
814,5157,23,2.0,70.34844345140617,39.54158874021661,14.0,5,1.0,2018,0.075778755,B,B,6,1437,3,,0,2,B
4508,8081,22,3.0,83.35594592354818,,1.0,19,22.0,1977,0.118537385,B,B,30,6207,1,1183.0,1,0,B
2079,4197,46,3.0,58.1834696799591,41.8805836614272,5.0,4,9.0,1969,0.0,B,B,47,11319,0,1145.0,3,5,B
4062,7407,57,1.0,40.01913833013058,24.806652576146604,10.0,19,22.0,2002,0.090799103,B,B,74,19083,2,,5,15,B
4933,15016,41,1.0,40.471348103527006,20.33306636418788,7.0,7,14.0,2005,0.175054867,B,B,36,10055,3,,1,0,B
4074,14296,27,2.0,62.1420496427643,,1.0,8,17.0,1977,0.072157581,B,B,2,629,1,,0,0,A
4817,11475,27,1.0,53.26356107174951,,0.0,9,0.0,1977,0.072157581,B,B,2,629,1,,0,0,A
536,12517,25,2.0,52.45718812853449,33.138776629813684,8.0,3,14.0,1994,0.069753361,B,B,53,13670,4,,1,11,B
2091,15835,23,3.0,83.38415601520283,80.3702303917696,10.0,14,18.0,2015,0.034656082,B,B,0,168,0,,0,0,B
4045,8944,75,2.0,46.12371654925122,30.978382863306543,5.0,5,5.0,1965,0.307466659,B,A,30,5048,9,325.0,2,5,B
4816,6187,45,3.0,79.79820856763294,,0.0,17,0.0,1977,0.195781053,B,B,23,5212,6,,3,2,B
4853,10623,27,2.0,70.1097000340461,68.37385449430646,11.0,12,17.0,1977,0.072157581,B,B,2,629,1,,0,0,A
3940,4897,46,1.0,36.85880307258903,19.47901151437639,6.0,7,9.0,1969,0.0,B,B,47,11319,0,1145.0,3,5,B
224,13924,9,1.0,41.26247404924529,,1.0,2,1.0,1977,0.161531741,B,B,25,5648,1,30.0,2,4,B
2503,5439,48,1.0,42.4495816064278,21.79743365383394,8.0,7,14.0,1985,0.041124634,B,B,46,9515,5,,1,10,B
631,635,34,1.0,33.74211915240898,33.33656548978688,1.0,16,1.0,2018,0.069753361,B,B,53,13670,4,,1,11,B
2251,1131,47,2.0,55.860983176004495,31.909536799037472,8.0,5,12.0,1984,6.99893e-05,B,B,46,10309,1,240.0,1,16,B
1942,14599,15,1.0,38.87249399684154,23.63279210177454,7.0,12,14.0,2009,0.158249043,B,B,21,5731,0,,1,0,B
1349,4474,21,2.0,42.62640343799149,29.906751217686057,5.0,5,5.0,1968,0.394094211,B,B,3,662,0,35.0,0,0,B
1904,9489,142,1.0,37.046918295911325,23.861619696718925,9.0,8,16.0,1974,0.051942062,B,B,17,4017,7,800.0,2,0,B
1248,13258,94,1.0,32.81533648860806,22.544629273571537,6.0,6,9.0,1972,0.282797669,B,B,33,8667,2,,0,6,B
3552,2452,86,1.0,36.91668454287291,21.385127571564823,8.0,3,4.0,1962,0.161975568,B,A,31,7010,5,4508.0,3,7,B
1090,2077,27,1.0,54.4737523885719,21.133650179679226,13.0,13,18.0,2015,0.072157581,B,B,2,629,1,,0,0,A
283,9404,161,2.0,55.78481814562032,34.23048876030064,9.0,18,17.0,1996,0.0006991189999999,B,B,14,3369,24,4129.0,0,3,B
1737,8684,1,2.0,54.763380206480434,,1.0,13,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
1427,14255,2,1.0,34.16364847201171,20.129265134699885,7.0,6,9.0,1970,0.309479124,B,B,35,7715,4,990.0,0,6,B
3054,6887,58,2.0,67.25686692921654,,0.0,10,17.0,1977,0.43788524,B,B,23,5735,3,1084.0,0,5,B
3455,5317,111,1.0,38.82827010413164,23.493250908952646,7.0,16,17.0,2007,0.093442564,B,B,23,4635,5,3300.0,2,4,B
2891,1425,23,2.0,74.25258827355731,,0.0,3,0.0,1977,0.014072961,B,B,2,475,0,,0,0,B
1172,9385,100,2.0,59.0495124989822,32.80934922276225,10.0,7,14.0,2008,0.200146802,B,B,23,3975,8,770.0,2,0,B
496,13119,1,2.0,45.77306981964009,32.88614155315477,5.0,6,5.0,1977,0.014580716,B,B,3,760,1,,0,0,B
2030,9803,113,2.0,87.50464148544675,50.23301032382071,13.0,5,16.0,2004,0.050755569,B,B,24,5469,1,145.0,0,1,B
100,11366,6,2.0,62.63302347184765,43.15112225927083,10.0,17,17.0,2017,0.243204519,B,B,5,1564,0,540.0,0,0,B
1101,2831,21,1.0,21.452899484962423,15.79850945588107,3.0,11,9.0,1972,0.194489265,B,B,47,8004,3,125.0,3,5,B
2226,1659,44,2.0,45.23856411721859,28.26893796264861,6.0,6,4.0,1967,0.122190486,B,B,25,4724,2,1308.0,1,3,B
649,10634,169,3.0,90.4092500741474,86.15461271620632,1.0,3,3.0,2017,0.178916796,B,B,18,3594,4,192.0,1,5,B
491,4181,27,2.0,53.96810277468793,,0.0,13,0.0,1977,0.011654127,B,B,4,915,0,,0,0,B
1326,10673,58,2.0,57.95174099671314,61.2346488837044,0.0,5,0.0,1977,0.43788524,B,B,23,5735,3,1084.0,0,5,B
2391,10816,51,3.0,97.88933216939984,58.64056425285965,12.0,4,5.0,1929,0.015016892,B,B,17,3079,59,2890.0,0,8,B
811,9575,47,3.0,67.92825485457547,41.007276530526006,8.0,5,12.0,1978,6.99893e-05,B,B,46,10309,1,240.0,1,16,B
4668,13786,27,2.0,63.514513622638646,34.66605000422544,1.0,6,1.0,2015,0.017647053,B,B,2,469,0,,0,0,B
1955,14130,6,2.0,56.377562258622646,,1.0,19,25.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
2186,16000,27,2.0,66.92923086029376,68.08750973605949,12.0,4,17.0,2018,0.072157581,B,B,2,629,1,,0,0,A
4132,15836,23,1.0,47.25453674477815,18.422295171870264,10.0,16,17.0,2008,0.075778755,B,B,6,1437,3,,0,2,B
3530,11065,3,2.0,48.47398458140175,32.727960815080465,5.0,4,12.0,1972,0.265088676,B,B,37,5288,0,1937.0,3,2,B
2459,14997,30,2.0,63.31807494256496,,1.0,19,17.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
426,3707,11,2.0,46.26614120182139,28.44894076293427,6.0,3,9.0,1973,0.012338886,B,B,35,5776,1,2078.0,2,4,B
2450,18,15,3.0,64.2386714673314,39.263152217715714,8.0,12,12.0,1983,0.158249043,B,B,21,5731,0,,1,0,B
3464,6587,52,2.0,64.60993058204129,63.33484751189442,1.0,14,17.0,1977,0.371148999,B,B,34,7065,1,750.0,2,5,B
1376,5746,62,1.0,44.02135555960434,,0.0,13,0.0,1977,0.072157581,B,B,2,629,1,,0,0,A
3663,6989,94,1.0,45.65080073053585,17.178724374787247,10.0,18,25.0,2012,0.282797669,B,B,33,8667,2,,0,6,B
727,9297,148,2.0,61.87886298833217,35.836544214024634,10.0,4,17.0,1986,0.313924552,B,B,22,4625,11,3855.0,2,10,B
1649,10056,27,2.0,62.90009390765925,,0.0,5,22.0,1977,0.211401214,B,B,9,1892,0,,0,1,B
4265,12798,47,1.0,35.16001098926682,23.22068171653761,6.0,7,9.0,1979,0.101872465,B,B,23,4583,3,,3,3,B
4505,10982,96,3.0,74.82841207253952,47.925976888579214,10.0,6,10.0,1995,0.041116354,B,B,53,14892,4,,1,4,B
2052,5991,55,3.0,52.4532935032769,31.178348473946485,8.0,3,14.0,1990,0.041365446,B,B,31,5569,0,,1,4,B
4804,8911,52,2.0,66.50924798994932,,1.0,19,17.0,1977,0.371148999,B,B,34,7065,1,750.0,2,5,B
2850,16792,26,1.0,36.80277883742891,22.48188452545498,5.0,4,9.0,1966,0.0,B,B,36,6714,2,2672.0,0,2,B
2814,7584,61,3.0,67.18873608686631,39.40470599788247,8.0,4,9.0,1982,0.300322518,B,B,52,10311,6,,1,9,B
3566,3106,90,2.0,45.08477933605608,25.394457594820256,5.0,7,14.0,1972,0.246031548,B,A,22,3151,4,2715.0,3,3,B
4748,13094,52,2.0,47.237170615261725,29.89373561134328,5.0,2,4.0,1962,0.371148999,B,B,34,7065,1,750.0,2,5,B
2534,5912,1,3.0,78.19602387957771,,1.0,12,24.0,1977,0.007122317,B,B,1,264,0,,0,1,B
1924,2824,66,3.0,51.30906827141424,35.792192403845355,5.0,3,9.0,1977,0.111627393,B,B,50,12238,8,1970.0,2,3,B
207,10762,55,3.0,63.051670598188274,46.39174109484638,6.0,2,9.0,1973,0.012338886,B,B,35,5776,1,2078.0,2,4,B
1390,3993,27,2.0,63.9360405195396,29.62213103328339,14.0,4,3.0,2016,0.011654127,B,B,4,915,0,,0,0,B
2749,12876,27,2.0,54.49107181674717,33.587619525656585,9.0,5,17.0,2012,0.011654127,B,B,4,915,0,,0,0,B
1017,14601,103,3.0,73.60540239160504,43.8537532779942,10.0,2,17.0,2002,0.151346216,B,A,32,5889,10,830.0,4,1,B
1486,4066,74,3.0,111.47404050008112,111.6022035595422,17.0,13,15.0,2016,0.075778755,B,B,6,1437,3,,0,2,B
1928,9165,21,2.0,46.07068595915921,33.75146096605414,5.0,10,9.0,1967,0.194489265,B,B,47,8004,3,125.0,3,5,B
1796,1438,74,1.0,46.66944514059817,,1.0,8,17.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
3902,4205,9,3.0,81.72409497072331,80.73513468127203,1.0,9,1.0,1977,0.161531741,B,B,25,5648,1,30.0,2,4,B
728,7749,119,3.0,109.36999965088243,35.309621720079065,11.0,7,24.0,2000,0.000995363,B,B,42,7651,1,,1,5,B
849,8030,19,2.0,67.518721641105,38.905038168155535,7.0,5,5.0,1956,0.309479124,B,B,35,7715,4,990.0,0,6,B
4908,15795,29,1.0,34.080252737446635,23.16364912424431,5.0,5,5.0,1960,0.069660344,B,B,31,6119,4,,1,2,B
197,11086,21,2.0,42.70799497329023,29.035438476677943,5.0,9,8.0,1964,0.149666373,B,B,22,4789,2,4087.0,4,1,B
1045,2174,29,2.0,64.68121757554965,33.3605293605813,10.0,11,17.0,1999,0.086885265,B,B,10,2277,2,1547.0,0,0,B
3094,1984,99,2.0,46.75801072084518,28.5449634212956,5.0,4,9.0,1971,0.012338886,B,B,35,5776,1,2078.0,2,4,B
4167,9133,1,2.0,66.22350267159153,,1.0,18,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
2357,13108,24,2.0,54.59057671317649,32.09688185614966,8.0,11,17.0,1990,0.111627393,B,B,50,12238,8,1970.0,2,3,B
3226,3260,0,2.0,43.48937802703388,25.097347137255483,5.0,1,5.0,1962,0.319809354,B,B,25,4756,16,2857.0,5,8,B
2669,13109,77,3.0,67.06293157585868,47.78939393341813,6.0,6,12.0,1981,0.298204575,B,B,16,4048,3,,1,3,B
4137,14857,30,3.0,84.06506385867998,,1.0,2,17.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
1600,3644,6,3.0,82.50410295433498,,1.0,18,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
477,15820,88,1.0,37.013953758888896,23.140297282393337,9.0,9,9.0,1976,0.127375905,B,B,43,8429,3,,3,9,B
3475,10409,1,3.0,82.27655430292491,80.03779867519758,1.0,13,17.0,2018,0.007122317,B,B,1,264,0,,0,1,B
4291,9122,27,2.0,46.602980442402526,30.149847491336303,6.0,5,5.0,1969,0.211401214,B,B,9,1892,0,,0,1,B
3290,13762,1,1.0,37.664475316759685,,1.0,19,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
361,5083,46,3.0,61.4500959344176,46.41000518792711,6.0,8,9.0,1967,0.0,B,B,47,11319,0,1145.0,3,5,B
2214,14801,1,2.0,63.14256906975294,66.21981509628355,1.0,11,24.0,2014,0.007122317,B,B,1,264,0,,0,1,B
3529,1917,102,3.0,67.96493359177495,49.797929941249,7.0,9,16.0,1989,0.23861713,B,B,26,3889,6,705.0,3,6,B
1962,1000,35,2.0,63.51602545003964,63.30459923450146,1.0,5,18.0,2015,0.089039719,B,B,33,7976,5,,0,11,B
1721,11488,7,3.0,85.864178061831,53.29351181480786,10.0,8,17.0,2005,0.130617806,B,B,39,10418,9,900.0,1,9,B
3156,12879,23,2.0,64.05254615915153,,1.0,12,17.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
1369,9104,25,3.0,89.4479360199383,86.2073484277887,1.0,9,25.0,2017,0.069753361,B,B,53,13670,4,,1,11,B
2195,1788,35,2.0,46.576816537821614,33.85211360381735,6.0,5,12.0,1972,0.089039719,B,B,33,7976,5,,0,11,B
3589,9415,74,1.0,47.65535875687625,,1.0,3,1.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
222,8254,29,2.0,45.69373945180306,27.468975008406204,5.0,5,5.0,1964,0.086885265,B,B,10,2277,2,1547.0,0,0,B
2524,1845,46,1.0,33.72159411912663,17.694860976983485,5.0,4,5.0,1966,0.0,B,B,47,11319,0,1145.0,3,5,B
32,2359,53,2.0,60.73449830521805,42.793560850180576,10.0,17,24.0,2020,0.049637257,B,B,34,7759,0,229.0,1,3,B
819,4749,9,3.0,69.552090585187,41.69485611144509,8.0,4,10.0,2011,0.161531741,B,B,25,5648,1,30.0,2,4,B
4102,13894,9,2.0,52.12964663215251,30.287708750888967,8.0,7,14.0,1992,0.136244425,B,B,11,2370,0,,0,1,B
1599,11001,105,2.0,48.86195645304636,28.70767050986917,5.0,6,5.0,1965,0.040242764,B,B,25,3478,11,2729.0,3,1,B
4995,10379,29,2.0,43.17752128150369,30.339944875301565,5.0,6,5.0,1962,0.069660344,B,B,31,6119,4,,1,2,B
1198,422,69,2.0,57.18489954699714,36.72360168155123,9.0,8,16.0,1982,0.000991363,B,B,33,6783,3,,1,9,B
3158,9345,106,1.0,35.91944606873797,20.91934783434651,5.0,7,5.0,1966,0.246031548,B,A,22,3151,4,2715.0,3,3,B
1049,6672,10,2.0,48.43686052302616,33.961521717752646,7.0,4,12.0,1974,0.089039719,B,B,33,7976,5,,0,11,B
3658,5999,23,2.0,52.4515676175745,50.20658674463307,1.0,4,3.0,2017,0.005767451,B,B,1,388,0,,0,0,B
4072,16319,46,2.0,43.03206575205556,25.177862103620548,6.0,13,12.0,1969,0.0,B,B,47,11319,0,1145.0,3,5,B
3722,385,3,3.0,75.19373725677427,44.131271984687565,8.0,7,14.0,1995,0.265088676,B,B,37,5288,0,1937.0,3,2,B
1118,5857,26,1.0,56.68845982053818,2.132381476612484,1.0,8,20.0,2013,0.0,B,B,36,6714,2,2672.0,0,2,B
2653,4937,77,4.0,82.28700074551902,54.03737422339668,8.0,4,12.0,1976,6.99893e-05,B,B,46,10309,1,240.0,1,16,B
715,5744,73,2.0,74.48878941919456,73.45254375840125,1.0,4,17.0,2017,0.042031587,B,B,37,6856,84,1940.0,2,5,B
1910,9074,23,2.0,65.78496985164479,,1.0,16,17.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
597,7117,115,2.0,49.93497480720345,32.57963489819039,8.0,3,12.0,1969,1.8e-09,B,B,16,3681,73,1815.0,2,5,B
779,5956,119,1.0,45.312894505269696,22.34948535197472,10.0,13,14.0,2010,0.000995363,B,B,42,7651,1,,1,5,B
2432,12297,105,1.0,31.171671600055657,17.160854754298065,5.0,4,9.0,1970,0.040242764,B,B,25,3478,11,2729.0,3,1,B
4224,12144,128,1.0,39.40216930841053,21.149389319690872,8.0,9,14.0,1991,0.0,B,B,27,4798,0,30.0,2,8,B
4026,6178,83,1.0,41.07698227850751,22.05723616580677,8.0,15,14.0,1987,0.0077202819999999,B,B,38,4788,2,,0,4,B
3755,9928,1,1.0,41.228944022762,,1.0,7,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
4647,6273,61,2.0,47.48969088138692,28.189122288726026,6.0,1,12.0,1981,0.300322518,B,B,52,10311,6,,1,9,B
4786,11430,34,1.0,41.44711512315589,44.513657522514265,1.0,17,1.0,2016,0.069753361,B,B,53,13670,4,,1,11,B
598,12359,27,1.0,46.75054924559153,,0.0,16,0.0,1977,0.211401214,B,B,9,1892,0,,0,1,B
4707,190,2,2.0,45.41074257047544,31.76422015015807,6.0,4,5.0,1970,0.309479124,B,B,35,7715,4,990.0,0,6,B
4346,2767,101,2.0,43.566380697249066,26.934369965365967,6.0,6,12.0,1971,0.038692987,B,B,28,6533,1,1015.0,2,5,B
3960,4533,31,2.0,83.96329898886948,38.41922410108136,14.0,33,40.0,2014,0.151346216,B,A,32,5889,10,830.0,4,1,B
1003,4079,75,2.0,45.14419572295914,25.81955323502757,5.0,5,5.0,1962,0.307466659,B,A,30,5048,9,325.0,2,5,B
4371,8002,135,3.0,57.6001936740121,37.79413881995215,5.0,6,5.0,1965,0.007658515,B,B,35,7077,56,2301.0,3,19,B
452,11812,65,2.0,64.06314855146861,44.25138344350212,7.0,3,8.0,1958,0.081943463,B,B,20,2738,20,,1,4,B
1206,15154,67,2.0,57.91909261213966,,1.0,4,4.0,1977,0.0077202819999999,B,B,38,4788,2,,0,4,B
3793,9322,26,2.0,59.23289700429344,60.06710491762188,1.0,3,1.0,2016,0.089039719,B,B,33,7976,5,,0,11,B
679,13238,74,3.0,119.6074819504299,,10.0,8,12.0,2017,0.075778755,B,B,6,1437,3,,0,2,B
4191,11717,1,2.0,77.01609387494601,77.5320388516305,0.0,10,9.0,1977,0.007122317,B,B,1,264,0,,0,1,B
4777,13074,27,2.0,63.8475951900427,62.85608013662533,1.0,4,22.0,2015,0.211401214,B,B,9,1892,0,,0,1,B
1694,5440,79,2.0,45.42494895477513,43.40626522158103,5.0,5,5.0,1967,0.307466659,B,A,30,5048,9,325.0,2,5,B
2326,5034,27,3.0,76.05188945288387,74.61495977757595,1.0,10,12.0,2017,0.011654127,B,B,4,915,0,,0,0,B
567,5433,55,1.0,41.868942179032935,22.828053299240192,8.0,14,14.0,1999,0.041365446,B,B,31,5569,0,,1,4,B
1679,9315,24,2.0,48.64911937235977,29.51102103082904,6.0,6,9.0,1976,0.111627393,B,B,50,12238,8,1970.0,2,3,B
2154,9924,0,3.0,58.07726557108423,39.10519794675711,5.0,4,5.0,1963,0.319809354,B,B,25,4756,16,2857.0,5,8,B
1292,16786,23,1.0,44.66916066224369,,1.0,7,25.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
2692,9989,2,3.0,78.58267256552348,48.0793751658759,10.0,10,12.0,2007,0.035145267,B,B,42,9292,3,2620.0,0,3,B
3912,4862,96,1.0,44.82443599799236,21.89138246780808,9.0,10,8.0,2011,0.041116354,B,B,53,14892,4,,1,4,B
1496,7071,105,2.0,44.58222111860579,32.644465854921776,5.0,1,12.0,1966,0.040242764,B,B,25,3478,11,2729.0,3,1,B
1475,14329,37,2.0,60.65100869429421,44.72805650305296,10.0,14,22.0,2016,0.178916796,B,B,18,3594,4,192.0,1,5,B
4574,4200,30,2.0,68.97677771793644,,1.0,7,17.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
4374,2132,94,2.0,83.61791933566413,39.74574781154256,12.0,22,23.0,2008,0.282797669,B,B,33,8667,2,,0,6,B
3571,9496,145,2.0,63.8612903662488,36.346573640144406,12.0,13,17.0,2004,0.246031548,B,A,22,3151,4,2715.0,3,3,B
2465,7130,30,1.0,46.26311727912618,,1.0,20,22.0,2014,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
506,7828,73,2.0,64.8434123219766,33.05295515778192,12.0,5,5.0,1977,0.042031587,B,B,37,6856,84,1940.0,2,5,B
2296,7214,128,2.0,57.427824456097625,30.258026672563943,8.0,11,14.0,1992,0.0,B,B,27,4798,0,30.0,2,8,B
2615,4609,55,1.0,41.67860356433982,21.887756798656483,8.0,7,17.0,1991,0.041365446,B,B,31,5569,0,,1,4,B
4544,13409,81,4.0,82.06977462328071,50.27325182420352,7.0,6,5.0,1960,0.319809354,B,B,25,4756,16,2857.0,5,8,B
1455,12097,48,2.0,80.78894881638095,40.47310398311317,18.0,7,28.0,2012,0.041124634,B,B,46,9515,5,,1,10,B
3248,4425,138,2.0,43.41977960119376,30.62710727151296,5.0,5,5.0,1962,0.195781053,B,B,23,5212,6,,3,2,B
3186,12703,77,3.0,66.47306462952248,39.39613362293408,8.0,11,12.0,1980,6.99893e-05,B,B,46,10309,1,240.0,1,16,B
562,4854,7,2.0,60.69826501126976,33.940843839373215,8.0,19,22.0,2009,0.035145267,B,B,42,9292,3,2620.0,0,3,B
4366,4848,42,2.0,62.87247781739398,36.81160736315323,1.0,3,12.0,2008,0.158249043,B,B,21,5731,0,,1,0,B
4171,514,119,1.0,45.033640221405456,20.31315453147781,10.0,13,24.0,2007,0.000995363,B,B,42,7651,1,,1,5,B
2815,7873,17,3.0,58.059879496226,38.13618840489788,5.0,2,5.0,1961,0.0,B,B,18,3374,5,620.0,1,2,B
1195,11972,27,2.0,65.66091478699704,60.67694868236322,7.0,3,1.0,2017,0.017647053,B,B,2,469,0,,0,0,B
3984,7371,27,2.0,62.8270114526808,59.63789391426993,10.0,10,10.0,2013,0.011654127,B,B,4,915,0,,0,0,B
355,14088,123,3.0,91.5990273608436,58.13263909475655,11.0,4,8.0,2005,0.0,B,B,6,2733,0,920.0,0,4,B
2869,8258,23,1.0,30.97890459393039,,1.0,7,12.0,1977,0.034656082,B,B,0,168,0,,0,0,B
3485,10798,23,3.0,69.58489082726886,,1.0,1,3.0,1977,0.005767451,B,B,1,388,0,,0,0,B
3706,2569,6,1.0,40.69563140466281,,0.0,17,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
4687,6174,6,1.0,40.42494234106525,,1.0,6,17.0,2014,0.243204519,B,B,5,1564,0,540.0,0,0,B
2776,6342,38,3.0,104.46398314956708,52.55810562257431,10.0,11,17.0,2016,0.060753049,B,B,15,2787,2,520.0,0,7,B
3862,9151,20,3.0,73.09816144493715,70.52869184922359,7.0,8,8.0,1961,0.019508796,B,B,37,7687,11,176.0,5,5,B
2138,10311,156,2.0,53.30918578594442,30.30256208074772,8.0,17,17.0,2002,0.007658515,B,B,35,7077,56,2301.0,3,19,B
1995,4923,27,1.0,41.515281040597536,39.63615956223219,1.0,15,25.0,2015,0.211401214,B,B,9,1892,0,,0,1,B
2264,2909,23,1.0,32.96951997827669,,1.0,4,6.0,1977,0.034656082,B,B,0,168,0,,0,0,B
4170,1353,74,2.0,54.55786968187346,30.07360437938401,9.0,16,15.0,2005,0.371148999,B,B,34,7065,1,750.0,2,5,B
